name,sku,allergen_status,allergen_notes,address_status,country_of_origin_status,nutrition_box_status,labels_in_stock,urgency
Another Year Wiser,SDP89,NEEDS_CHANGE_NON_URGENT,"Address, nutrition box,",INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,1000,CHANGE_NEEDED_NOT_URGENT
Anti-aging Supplements,SDP76,NEEDS_CHANGE_URGENT,"Address, nutrition box, packaged in NZ, The product contains bee pollen which can cause severe allergic reactions.",INCORRECT,INCORRECT,NEEDS_COLUMN_ADDED,,TOP_PRIORITY_URGENT
Anti-Fatigue Formula,SDP40,NEEDS_CHANGE_NON_URGENT,"Bold soy in may contain, address, nurition wrong, made in nz",INCORRECT,CORRECT,INCORRECT,,URGENT_CHANGE_NEEDED
A**hole antidote,SDP81,NEEDS_CHANGE_URGENT,"Say contains Gluten, address, nutrition, packed in NZ",INCORRECT,INCORRECT,NEEDS_COLUMN_ADDED,,TOP_PRIORITY_URGENT
Bear Hugs,SDP49,NEEDS_CHANGE_URGENT,"Bees Wax / Pollen statement, address, Nutrition wrong + add column, packaged in NZ (re turkey)",INCORRECT,INCORRECT,INCORRECT,,TOP_PRIORITY_URGENT
Booster Shots,SDP70,CORRECT,,INCORRECT,INCORRECT,INCORRECT,,NO_CHANGE_NEEDED
Brain Power Pills,SDP75,CORRECT,Write made in NZ,CORRECT,CORRECT,CORRECT,,CHANGE_NEEDED_NOT_URGENT
Bullshit Blockers,,NEEDS_CHANGE_NON_URGENT,"Change may contain (remove), address, nutrition column",INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,500,CHANGE_NEEDED_NOT_URGENT
Jar of hugs,,CORRECT,"packaged in NZ, address, nutrition wrong, bold may contain,",INCORRECT,INCORRECT,INCORRECT,,URGENT_CHANGE_NEEDED
Chill Pills,SDP61,CORRECT,"Address, nutrition is wrong, note to change may contain",INCORRECT,CORRECT,INCORRECT,700,URGENT_CHANGE_NEEDED
Common Sense Substitute,SDP107,NEEDS_CHANGE_NON_URGENT,"May contain list, address, nutrition column",INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,700,CHANGE_NEEDED_NOT_URGENT
Concrete Pills,,NEEDS_CHANGE_NON_URGENT,"May contain list, address, nutrition column",INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,700,CHANGE_NEEDED_NOT_URGENT
Control Freak fizziies,,CORRECT,"Address, nutrition is wrong, note to change may contain",CORRECT,CORRECT,INCORRECT,,URGENT_CHANGE_NEEDED
Dad Bod Formula,SDP74,CORRECT,"Add in 'packaged in NZ', address, nutrition column",INCORRECT,INCORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Dad Joke Enhancers,SDP41,NEEDS_CHANGE_NON_URGENT,"Address wrong, nutrition column missing",INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,1700,CHANGE_NEEDED_NOT_URGENT
Dumbfuckery Formula,SDP94,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Energy Boosters,SDP99,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
Fart Suppressants,SDP48,NEEDS_CHANGE_URGENT,"Contains licorice warning, address, nutrition",INCORRECT,INCORRECT,NEEDS_COLUMN_ADDED,,TOP_PRIORITY_URGENT
FOMO Formula - NEW,SDP112,CORRECT,New product - full label review needed,INCORRECT,INCORRECT,INCORRECT,,URGENT_CHANGE_NEEDED
Fucktard Remedy,SDP95,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Get Shit Done,,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
G.O.A.T,SDP100,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
Grow Some Balls,SDP18,NEEDS_CHANGE_NON_URGENT,"Address, nutrition column",INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Grumpy Git Gummies,,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Hangover Remedy,,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Hangry Pills,,NEEDS_CHANGE_URGENT,"Strawberry rock, allergy check needed",INCORRECT,INCORRECT,INCORRECT,,TOP_PRIORITY_URGENT
"Happy Wife, Happy Life",SDP55,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
Hot flush Formula,SDP92,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
I like you more than a lot Lozenges,SDP24,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Jar of Happiness,SDP84,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
Laughter Lozenges,,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Legend Lozenges,,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Love Bites,SDP69,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
Man Flu Formula - NEW,SDP113,CORRECT,New product - full label review needed,INCORRECT,INCORRECT,INCORRECT,,URGENT_CHANGE_NEEDED
Midlife Crisis Supplements,,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Man Look Remedy  - NEW,SDP111,CORRECT,New product - full label review needed,INCORRECT,INCORRECT,INCORRECT,,URGENT_CHANGE_NEEDED
Mother Like No Other,,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Mullet and Mo Enhancers,SDP97,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Nozempic - NEW,SDP110,CORRECT,New product - full label review needed,INCORRECT,INCORRECT,INCORRECT,,URGENT_CHANGE_NEEDED
On-Purpose Pills,SDP17,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Over the Hill Pills,SDP63,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
Perspective Pills,SDP19,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Positivity Pills,SDP65,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
Procrastination Pills,SDP96,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Pure Heroine,SDP46,NEEDS_CHANGE_URGENT,Name/branding review + allergen check,INCORRECT,INCORRECT,NEEDS_COLUMN_ADDED,,TOP_PRIORITY_URGENT
Rapid Recovery,SDP71,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
Rise to the occasion,SDP64,NEEDS_CHANGE_NON_URGENT,,INCORRECT,CORRECT,NEEDS_COLUMN_ADDED,,CHANGE_NEEDED_NOT_URGENT
Road Rage Reducers,SDP68,CORRECT,,CORRECT,CORRECT,CORRECT,,NO_CHANGE_NEEDED
